account,post_id,viral,cluster
terraideas.ru,2406892738657737311,0,1
terraideas.ru,2373453697924848032,0,0
termux_hacking,2469417425154842272,0,0
termux_hacking,2454590915956796960,0,0
termux_hacking,2453434280114819926,0,0
termux_hacking,2452589923887439258,0,0
termux_hacking,2451374190654321935,0,0
termux_hacking,2447521466099635292,0,0
termux_hacking,2446774235256026507,0,0
termux_hacking,2446177975826314026,0,0
termux_hacking,2445975301654835543,0,0
termux_hacking,2444790189894346998,0,0
termux_hacking,2440986531457869596,0,0
termux_hacking,2439606200849960589,0,0
teqstories,2486380896161246799,0,0
teqstories,2485538398069195909,0,0
teqstories,2477016634104216047,0,0
teqstories,2471828352281911361,0,0
teqstories,2463775909149250899,0,0
teqstories,2462343248702772273,0,0
teqstories,2461604133115965296,0,0
teqstories,2460890759440874357,0,0
teqstories,2458734561832603062,0,0
teqstories,2456602719683614121,0,0
teqstories,2455810891921398277,0,0
teqstories,2455099339807194996,0,0
techzone0,2521892339471969943,0,1
techzone0,2521295417149275726,0,1
techzone0,2521189774476361043,0,1
techzone0,2520748553635299245,0,1
techzone0,2520494856032281119,0,1
techzone0,2520075240915113049,0,1
techzone0,2377181763593247079,1,0
techzone0,2375595231163472565,1,0
techzone0,2373587600280709192,1,0
techzone0,2372838528288624709,1,0
techzone0,2372038575605756371,1,0
techzone0,2364174454885468676,1,0
techy_knowledge,2617369935714676596,0,0
techy_knowledge,2589317719593633162,0,0
techy_knowledge,2567298642817928970,0,0
techy_knowledge,2566896067119516507,0,0
techy_knowledge,2497862703813750918,0,0
techy_knowledge,2477478454690529712,0,0
techy_knowledge,2443312209649192670,0,0
techy_knowledge,2345993719876026627,1,0
techy_knowledge,2339037464787786011,0,0
techy_knowledge,2331411977181835694,0,0
techy_knowledge,2328994384533536151,0,0
techy_knowledge,2328988318529761508,0,0
techsoftstudies,2365146887616672496,0,0
techsoftstudies,2364419048659431506,1,0
techsoftstudies,2363687574951776118,0,0
techsoftstudies,2361504088490768410,0,0
techsoftstudies,2360790963034399812,1,0
techsoftstudies,2360058923303712239,0,0
techsoftstudies,2359334069256525784,0,0
techsoftstudies,2358610340020832376,0,0
techsoftstudies,2357881491293264694,0,0
techsoftstudies,2357168107618935807,0,0
techsoftstudies,2356434246689842269,0,0
techsoftstudies,2355710648291312908,0,0
techsideofficial,2502204543111026004,0,0
techsideofficial,2489930858136402086,0,0
techsideofficial,2489211077703856697,0,0
techsideofficial,2488779942310063827,0,1
techsideofficial,2479805591527120569,0,0
techsideofficial,2367423744143728848,0,1
techsideofficial,2357864844780303852,0,0
